id,question,expected_answerable,category,expected_source,gold_evidence,label_reason,number_of_results,top1_reranker_score,top2_reranker_score,reranker_margin,top1_cosine_similarity,top1_rrf_score,mean_top_k_reranker_score,supporting_results_count,top1_source,top1_chunk_id,top1_hybrid_rank,top1_vector_rank,top1_bm25_rank,embedding_time_ms,hybrid_retrieval_time_ms,reranking_time_ms,total_time_ms
Q001,Who shares responsibility for the sustainability of cloud workloads?,true,azure_answerable,markdown\well-architected__sustainability__overview.md,Sustainability for workloads in the cloud is a shared responsibility between the cloud provider and the organization.,Une source et une preuve de référence existent dans le corpus.,5,0.98116243,0.33590889,0.64525354,0.88320071,0.0325224749,0.35072911,1,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_0,1,1,2,109.9246,143.3656,6378.9827,6632.2799
Q002,How much less carbon efficient can on-premises workloads be compared with Azure workloads?,true,azure_answerable,markdown\well-architected__sustainability__overview.md,"running it on-premises, which can be between 50-98% less carbon efficient",Une source et une preuve de référence existent dans le corpus.,5,0.99976367,0.98812449,0.01163918,0.89265892,0.0327868852,0.46618298,2,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_0,1,1,1,85.0707,100.2504,7254.0078,7439.3336
Q003,How do architecture decisions influence the sustainability of an Azure workload?,true,azure_answerable,markdown\well-architected__sustainability__overview.md,your design decisions directly shape how efficiently a workload uses cloud resources,Une source et une preuve de référence existent dans le corpus.,5,0.99929368,0.91876125,0.08053243,0.92013902,0.0327868852,0.79825937,5,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_0,1,1,1,88.9916,105.9408,6342.5441,6537.4812
Q004,What is a sustainable cloud workload?,true,azure_answerable,markdown\well-architected__sustainability__overview.md,"A sustainable workload is designed to minimize unnecessary resource consumption while still meeting business, reliability, security, and performance requirements.",Une source et une preuve de référence existent dans le corpus.,5,0.99850261,0.75468522,0.24381739,0.89522732,0.0325224749,0.47368891,2,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_1,2,2,1,67.9418,95.6887,6923.2732,7086.9079
Q005,Which infrastructure practices can improve both cost optimization and sustainability?,true,azure_answerable,markdown\well-architected__sustainability__overview.md,"Right-sizing infrastructure, using autoscaling effectively, and eliminating idle or redundant resources",Une source et une preuve de référence existent dans le corpus.,5,0.98684406,0.97427881,0.01256526,0.86524105,0.0315136476,0.84016198,5,well-architected__sustainability__overview.md,fixed__1024__well-architected__sustainability__overview.md__chunk_9,3,2,5,89.9484,115.4838,5986.0597,6191.5
Q006,What type of analytics platform is Azure Databricks?,true,azure_answerable,markdown\well-architected__service-guides__azure-databricks.md,Azure Databricks is an Apache Spark-based analytics platform,Une source et une preuve de référence existent dans le corpus.,5,0.99402964,0.99090016,0.00312948,0.89964957,0.0325224749,0.90457057,5,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_0,1,1,2,75.7899,144.6803,7251.3619,7471.8376
Q007,What types of workloads can teams build with Azure Databricks?,true,azure_answerable,markdown\well-architected__service-guides__azure-databricks.md,"build and deploy data engineering, machine learning, and analytics workloads at scale",Une source et une preuve de référence existent dans le corpus.,5,0.92711246,0.89178342,0.03532904,0.87616926,0.030798389,0.72122595,5,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_0,2,7,3,94.8923,108.1159,7421.1246,7624.1383
Q008,Which Azure technologies are included in the scope of the Azure Databricks architecture review?,true,azure_answerable,markdown\well-architected__service-guides__azure-databricks.md,"Azure Databricks

Spark

Delta Lake

Unity Catalog

MLflow",Une source et une preuve de référence existent dans le corpus.,5,0.99758291,0.74565405,0.25192887,0.86903557,0.0327868852,0.70991129,4,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_0,1,1,1,91.2023,102.2336,6499.5118,6692.9535
Q009,What is the purpose of the Reliability pillar?,true,azure_answerable,markdown\well-architected__service-guides__azure-databricks.md,The purpose of the Reliability pillar is to provide continued functionality by building enough resilience and the ability to recover fast from failures,Une source et une preuve de référence existent dans le corpus.,5,0.94947559,0.11138741,0.83808818,0.81957759,0.0320184426,0.26514428,1,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_0,1,4,1,186.6803,94.1333,7368.3191,7649.1376
Q010,How should Azure Databricks job execution failures be handled?,true,azure_answerable,markdown\well-architected__service-guides__azure-databricks.md,Implement retry policies with exponential backoff. Use Azure Databricks job orchestration with error handling. Set up appropriate timeout settings.,Une source et une preuve de référence existent dans le corpus.,5,0.95129192,0.86371446,0.08757746,0.8496894,0.0284416354,0.83299925,5,well-architected__service-guides__azure-databricks.md,fixed__1024__well-architected__service-guides__azure-databricks.md__chunk_2,6,23,1,103.5708,98.364,6194.1617,6396.1005
Q011,What is a cost model in the Azure Well-Architected Framework?,true,azure_answerable,markdown\well-architected__cost-optimization__cost-model.md,A cost model is an estimate that predicts the combined costs of services and their associated expenses.,Une source et une preuve de référence existent dans le corpus.,5,0.99770701,0.1338394,0.86386761,0.87436492,0.0325224749,0.27241583,1,well-architected__cost-optimization__cost-model.md,fixed__1024__well-architected__cost-optimization__cost-model.md__chunk_0,2,2,1,79.7639,88.1821,7314.762,7482.7142
Q012,Which events can interrupt long-running HPC jobs?,true,azure_answerable,markdown\well-architected__hpc__hpc-design-principles.md,"Long-running HPC jobs are vulnerable to infrastructure failures, spot evictions, and maintenance events.",Une source et une preuve de référence existent dans le corpus.,5,0.96709913,0.10458221,0.86251692,0.85700245,0.0325224749,0.23977035,1,well-architected__hpc__hpc-design-principles.md,fixed__1024__well-architected__hpc__hpc-design-principles.md__chunk_1,1,2,1,81.8955,82.4306,7028.7848,7193.1155
Q013,What kinds of resources are included in the Azure Architecture Center?,true,azure_answerable,html\en-us-azure-architecture-777fa9b92470.html,"Azure Architecture Center is a catalog of solution ideas, example workloads, reference architectures, technology decision guides, and architecture guides for Azure workloads.",Une source et une preuve de référence existent dans le corpus.,5,0.83613974,0.71747774,0.118662,0.86912753,0.0320020481,0.37401035,2,en-us_azure_architecture.html,fixed__1024__en-us_azure_architecture.html__chunk_0,2,2,3,87.4957,103.5553,7742.3794,7933.4357
